as_path,no_of_hops,relationships,validity,rov_of_each_asn,rov_path
"56517,20847,3356,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"56517,20847,3257,8075",2,"['c-p', 'c-p', 'p-c']",True,"[0.0, 0.0, 100.0, 100.0]",0
"56517,33915,6830,8075",2,"['c-p', 'c-p', 'p-p']",True,"[0.0, 100.0, 100.0, 100.0]",100
